page_id,opportunity_score,archetype,pos_30d,pos_drift,imp_30d,clicks_30d,ctr_observed_pct,ctr_expected_pct,ctr_deficit_pct,expected_recovered_clicks,reason_codes,recommended_action,urgency,rank
page_1391,78.9,1,26.4,3.05,4012,0,0.0,0.58,100.0,2006,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,1
page_1013,78.6,1,26.6,3.09,2888,0,0.0,0.57,100.0,1444,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,2
page_1233,76.5,1,18.2,2.8,2665,0,0.0,0.92,100.0,1332,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,3
page_1310,74.4,1,29.0,2.72,4122,1,0.02,0.51,95.3,1963,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,4
page_1216,73.3,1,25.6,2.78,4078,2,0.05,0.6,91.8,1872,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,5
page_1288,70.6,1,16.9,2.88,2742,4,0.15,1.0,85.5,1171,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,6
page_1184,69.3,1,27.8,2.64,4744,4,0.08,0.54,84.5,2003,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,7
page_1417,65.3,1,28.2,2.63,5357,7,0.13,0.53,75.5,2022,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,8
page_1426,61.7,1,12.3,2.96,1944,10,0.51,1.5,65.7,638,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING",REWRITE_AND_UPDATE_METADATA,CRITICAL,9
page_1030,59.2,2,20.7,0.17,5404,0,0.0,0.78,100.0,2702,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,10
page_1081,58.6,2,24.5,-0.01,8069,0,0.0,0.63,100.0,4034,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,11
page_1289,58.5,2,23.8,-0.02,7601,0,0.0,0.66,100.0,3800,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,12
page_1258,58.0,2,22.5,0.1,6760,1,0.01,0.7,97.9,3309,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,13
page_1047,57.9,2,17.2,0.03,4624,0,0.0,0.99,100.0,2312,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,14
page_1297,55.4,1,19.4,3.01,4767,21,0.44,0.85,48.0,1144,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,15
page_1286,55.2,1,19.8,2.8,4211,17,0.4,0.83,51.2,1078,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,16
page_1338,54.5,1,19.6,2.7,3918,16,0.41,0.84,51.4,1006,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,17
page_1465,53.8,1,13.9,2.42,3113,18,0.58,1.28,55.0,855,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,18
page_1423,53.3,1,24.9,2.79,6204,21,0.34,0.62,45.7,1418,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,19
page_1159,53.3,2,14.8,-0.01,4980,6,0.12,1.19,89.9,2237,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,20
page_1349,52.9,2,15.3,-0.01,5443,7,0.13,1.14,88.7,2413,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,21
page_1416,52.2,1,12.8,2.74,2891,22,0.76,1.43,46.7,675,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,22
page_1135,51.2,1,16.3,2.75,4006,24,0.6,1.05,43.1,864,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,23
page_1215,50.5,1,28.1,3.08,8515,30,0.35,0.53,34.1,1450,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,24
page_1177,50.2,1,15.3,2.94,4769,34,0.71,1.14,37.3,889,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,25
page_1269,50.2,1,25.6,2.98,10881,43,0.4,0.6,34.1,1854,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,26
page_1490,49.4,1,24.9,2.73,9116,36,0.39,0.62,36.6,1668,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,27
page_1319,49.2,1,13.7,2.8,3486,28,0.8,1.3,38.4,668,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,28
page_1246,47.9,1,14.8,2.72,5703,44,0.77,1.19,35.1,999,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,29
page_1397,47.9,1,26.9,2.48,9559,34,0.36,0.57,37.1,1771,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,30
page_1392,47.7,1,25.6,2.92,7003,29,0.41,0.6,31.0,1084,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,31
page_1133,47.6,1,18.5,2.81,8769,54,0.62,0.9,31.7,1389,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,32
page_1382,47.3,2,1.7,0.1,179979,11219,6.23,16.91,63.1,56819,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,33
page_1105,47.3,1,16.6,2.51,7001,46,0.66,1.03,36.3,1272,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,34
page_1425,47.3,2,1.7,-0.07,173080,10855,6.27,17.74,64.7,55949,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,35
page_1253,46.5,1,13.6,2.68,5504,49,0.89,1.32,32.8,901,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,36
page_1365,46.3,1,18.6,2.32,5732,32,0.56,0.9,37.6,1078,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,37
page_1295,46.3,2,22.0,-0.02,14599,31,0.21,0.73,70.8,5165,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,38
page_1046,46.1,1,8.9,3.13,8608,147,1.71,2.23,23.5,1010,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,39
page_1194,45.9,1,8.3,2.69,3082,50,1.62,2.43,33.3,512,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,40
page_1000,45.9,1,22.2,2.63,7481,37,0.49,0.72,31.2,1167,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,41
page_1410,45.8,1,19.7,2.61,8175,47,0.57,0.83,31.0,1268,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,42
page_1078,45.7,1,17.3,2.56,8493,57,0.67,0.98,31.3,1327,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,43
page_1350,45.7,2,2.9,-0.01,107375,3679,3.43,9.19,62.7,33677,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,44
page_1278,45.7,2,18.4,0.05,11267,31,0.28,0.91,69.7,3926,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,45
page_1413,45.5,2,11.0,-0.01,6373,31,0.49,1.73,71.8,2288,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,46
page_1301,45.5,2,4.9,0.07,145037,2733,1.88,4.74,60.2,43690,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,47
page_1103,45.5,2,3.3,0.03,138687,4092,2.95,7.58,61.1,42346,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,48
page_1019,45.4,1,9.2,2.58,2758,39,1.41,2.15,34.3,473,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,49
page_1227,45.4,1,24.7,2.63,10302,46,0.45,0.63,29.1,1498,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,50
page_1038,45.3,2,11.9,-0.09,6854,31,0.45,1.56,71.0,2433,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,51
page_1095,45.2,1,16.9,2.49,7134,49,0.69,1.01,31.9,1139,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,52
page_1224,45.1,1,19.7,3.06,16485,110,0.67,0.83,20.0,1645,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,53
